Decade,Num Faces,Total Pages,Num Pages with Faces,Percentage of Pages with Faces,Weighted Analysis,Normalized Weighted Analysis
1790,3,20,3.0,15.0,0.29850746268656714,0.04054054054054053
1800,10,36,9.0,25.0,0.8955223880597015,0.1216216216216216
1810,2,26,2.0,7.6923076923076925,0.19900497512437812,0.027027027027027025
1820,1,32,1.0,3.125,0.09950248756218906,0.013513513513513513
1830,2,36,2.0,5.555555555555555,0.19900497512437812,0.027027027027027025
1840,0,23,0.0,0.0,0.0,0.0
1850,2,24,2.0,8.333333333333332,0.1990049751243781,0.02702702702702702
1860,1,24,1.0,4.166666666666666,0.09950248756218905,0.01351351351351351
1870,1,24,1.0,4.166666666666666,0.09950248756218905,0.01351351351351351
1880,1,24,1.0,4.166666666666666,0.09950248756218905,0.01351351351351351
1890,1,26,1.0,3.8461538461538463,0.09950248756218906,0.013513513513513513
1900,4,28,4.0,14.285714285714285,0.39800995024875624,0.05405405405405405
1910,4,30,4.0,13.333333333333334,0.39800995024875624,0.05405405405405405
1920,8,28,6.0,21.428571428571427,0.5970149253731343,0.08108108108108106
1930,8,28,6.0,21.428571428571427,0.5970149253731343,0.08108108108108106
1940,10,38,8.0,21.052631578947366,0.7960199004975124,0.10810810810810809
1950,8,48,8.0,16.666666666666664,0.7960199004975124,0.10810810810810809
1960,25,90,19.0,21.11111111111111,1.890547263681592,0.25675675675675674
1970,14,77,11.0,14.285714285714285,1.0945273631840795,0.1486486486486486
1980,60,135,44.0,32.592592592592595,4.378109452736318,0.5945945945945944
1990,115,208,74.0,35.57692307692308,7.363184079601991,1.0
