Decade,Num Faces,Total Pages,Num Pages with Faces,Percentage of Pages with Faces,Weighted Analysis,Normalized Weighted Analysis
1880,1,34,1,2.941176470588235,0.06127450980392156,0.0
1890,17,51,12,23.52941176470588,0.7352941176470589,0.07236842105263157
1900,25,68,17,25.0,1.0416666666666667,0.10526315789473682
1910,27,52,17,32.69230769230769,1.0416666666666667,0.10526315789473682
1920,46,64,29,45.3125,1.7769607843137254,0.1842105263157894
1930,31,54,19,35.18518518518518,1.1642156862745099,0.11842105263157893
1940,24,56,16,28.57142857142857,0.9803921568627451,0.09868421052631576
1950,105,94,47,50.0,2.8799019607843137,0.30263157894736836
1960,175,144,60,41.66666666666667,3.676470588235295,0.3881578947368421
1970,202,200,82,41.0,5.0245098039215685,0.5328947368421051
1980,343,210,106,50.476190476190474,6.495098039215686,0.6907894736842103
1990,210,201,96,47.76119402985074,5.882352941176471,0.6249999999999999
2000,657,216,153,70.83333333333334,9.375000000000002,1.0
2010,699,188,146,77.6595744680851,8.946078431372548,0.9539473684210524
