Decade,Num Faces,Total Pages,Num Pages with Faces,Percentage of Pages with Faces,Weighted Analysis,Normalized Weighted Analysis
1830,1,54,1,1.8518518518518516,0.051150895140664954,0.0
1840,1,50,1,2.0,0.05115089514066496,1.1119293100113629e-18
1850,2,48,2,4.166666666666666,0.10230179028132991,0.008196721311475407
1860,4,48,3,6.25,0.1534526854219949,0.016393442622950817
1870,5,46,2,4.3478260869565215,0.10230179028132992,0.008196721311475409
1880,6,50,5,10.0,0.2557544757033248,0.032786885245901634
1890,1,52,1,1.9230769230769231,0.05115089514066496,1.1119293100113629e-18
1900,11,54,9,16.666666666666664,0.4603580562659846,0.06557377049180325
1910,6,50,4,8.0,0.20460358056265984,0.024590163934426222
1920,21,110,11,10.0,0.5626598465473146,0.08196721311475408
1930,32,104,20,19.230769230769234,1.0230179028132993,0.15573770491803277
1940,13,92,10,10.869565217391305,0.5115089514066496,0.07377049180327867
1950,49,116,29,25.0,1.4833759590792839,0.22950819672131142
1960,44,166,31,18.67469879518072,1.5856777493606136,0.24590163934426218
1970,48,186,41,22.043010752688172,2.0971867007672635,0.3278688524590163
1980,143,305,106,34.75409836065574,5.421994884910486,0.8606557377049178
1990,190,424,123,29.009433962264154,6.2915601023017915,1.0
